V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_842	Q2PFX5	2.39e-45	NA	NA	NA	NA
Ab_contig_845	P02556	1.23e-103	NA	NA	NA	NA
Ab_contig_847	A1L108	1.08e-36	NA	NA	NA	NA
Ab_contig_852	P40320	2.38e-63	NA	NA	NA	NA
Ab_contig_861	D6WMX4	7.52e-40	Serine/threonine-protein kinase Pink1, mitochondrial (EC 2.7.11.1) (PTEN-induced putative kinase 1)	Tribolium castaneum (Red flour beetle)	autophagy of mitochondrion [GO:0000422]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of free ubiquitin chain polymerization [GO:1904544]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of protein ubiquitination [GO:0031398]; protein autophosphorylation [GO:0046777]; regulation of apoptotic process [GO:0042981]	GO:0000422; GO:0004674; GO:0005524; GO:0005739; GO:0005741; GO:0005743; GO:0005829; GO:0018105; GO:0031398; GO:0031625; GO:0042981; GO:0046777; GO:0046872; GO:0090141; GO:1904544
Ab_contig_862	Q3ZBV9	2.22e-60	NA	NA	NA	NA
Ab_contig_867	O43390	5.04e-32	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	Homo sapiens (Human)	mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005681; GO:0005783; GO:0006397; GO:0071013; GO:1990904
Ab_contig_870	Q96JD6	6.01e-38	NA	NA	NA	NA
Ab_contig_875	P12261	4.57e-63	NA	NA	NA	NA
Ab_contig_881	Q54468	1.27e-24	NA	NA	NA	NA
Ab_contig_889	Q8HXQ0	5.3e-72	NA	NA	NA	NA
Ab_contig_891	Q25380	1.55e-42	NA	NA	NA	NA
Ab_contig_897	P62972	6.31e-54	NA	NA	NA	NA
Ab_contig_897	P62972	2.3e-34	NA	NA	NA	NA
Ab_contig_905	Q95VA8	7.83e-23	NA	NA	NA	NA
Ab_contig_913	Q6PBF0	2.56e-53	NA	NA	NA	NA
Ab_contig_936	A6NMZ7	1.49e-21	Collagen alpha-6(VI) chain	Homo sapiens (Human)	cell adhesion [GO:0007155]	GO:0005576; GO:0005581; GO:0007155; GO:0031012; GO:0062023
Ab_contig_938	Q94516	2.47e-29	NA	NA	NA	NA
Ab_contig_941	Q9PRL8	3.22e-36	NA	NA	NA	NA
Ab_contig_961	P29957	1.36e-31	NA	NA	NA	NA
Ab_contig_962	Q9D7Q1	3.43e-43	NA	NA	NA	NA
Ab_contig_998	Q9VQ29	1.57e-56	NA	NA	NA	NA
Ab_contig_1003	O75096	3.08e-22	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)	Homo sapiens (Human)	amyloid-beta clearance by cellular catabolic process [GO:0150094]; dendrite morphogenesis [GO:0048813]; dorsal/ventral pattern formation [GO:0009953]; embryonic digit morphogenesis [GO:0042733]; endocytosis [GO:0006897]; enzyme-linked receptor protein signaling pathway [GO:0007167]; generation of neurons [GO:0048699]; hair follicle development [GO:0001942]; kidney development [GO:0001822]; limb development [GO:0060173]; negative regulation of axonogenesis [GO:0050771]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ossification [GO:0030279]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of presynaptic membrane organization [GO:1901631]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; postsynaptic membrane assembly [GO:0097104]; presynaptic membrane assembly [GO:0097105]; proximal/distal pattern formation [GO:0009954]; regulation of postsynapse assembly [GO:0150052]; skeletal muscle acetylcholine-gated channel clustering [GO:0071340]; synapse organization [GO:0050808]; synaptic assembly at neuromuscular junction [GO:0051124]; Wnt signaling pathway [GO:0016055]	GO:0001822; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0007167; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0015026; GO:0016055; GO:0030279; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0035022; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0044853; GO:0048699; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150052; GO:0150094; GO:1901631; GO:1904395
Ab_contig_1015	B3EX21	2.66e-46	NA	NA	NA	NA
Ab_contig_1016	P0DMQ6	4.14e-25	Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) (Polyol dehydrogenase)	Gallus gallus (Chicken)	fructose biosynthetic process [GO:0046370]; fructose metabolic process [GO:0006000]; NADH oxidation [GO:0006116]; NADH regeneration [GO:0006735]; sorbitol biosynthetic process [GO:0006061]; sorbitol catabolic process [GO:0006062]	GO:0003939; GO:0006000; GO:0006061; GO:0006062; GO:0006116; GO:0006735; GO:0008270; GO:0031514; GO:0031966; GO:0032991; GO:0046370; GO:0051287
Ab_contig_1021	P09849	1.6e-27	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Oryctolagus cuniculus (Rabbit)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1021	P09849	6.46e-27	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Oryctolagus cuniculus (Rabbit)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1021	P09849	2.57e-24	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Oryctolagus cuniculus (Rabbit)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1022	P61166	1.57e-36	NA	NA	NA	NA
Ab_contig_1033	O48766	5.58e-50	NA	NA	NA	NA
Ab_contig_1038	Q9R1T3	1.16e-82	NA	NA	NA	NA
Ab_contig_1052	O43827	3.18e-24	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	Homo sapiens (Human)	blood coagulation [GO:0007596]; negative regulation of vasculature development involved in avascular cornea development in camera-type eye [GO:1901346]; regulation of extracellular matrix organization [GO:1903053]; response to oxidative stress [GO:0006979]	GO:0005576; GO:0005615; GO:0006979; GO:0007596; GO:0042802; GO:0062023; GO:1901346; GO:1903053
Ab_contig_1056	Q9D172	5.45e-24	NA	NA	NA	NA
Ab_contig_1058	Q5R546	0	NA	NA	NA	NA
Ab_contig_1073	A1DPK7	4.76e-58	NA	NA	NA	NA
Ab_contig_1102	O15989	2.41e-37	NA	NA	NA	NA
Ab_contig_1112	P80193	9.41e-38	NA	NA	NA	NA
Ab_contig_1143	O75439	8.35e-64	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)	Homo sapiens (Human)	mitochondrial calcium ion transmembrane transport [GO:0006851]; protein processing involved in protein targeting to mitochondrion [GO:0006627]	GO:0004222; GO:0005739; GO:0005759; GO:0006627; GO:0006851; GO:0017087; GO:0046872
Ab_contig_1173	P56377	2.39e-48	NA	NA	NA	NA
Ab_contig_1176	P50429	7.03e-22	NA	NA	NA	NA
Ab_contig_1186	P50656	4.72e-29	NA	NA	NA	NA
Ab_contig_1196	P62311	2.64e-27	NA	NA	NA	NA
Ab_contig_1203	P49114	4.99e-66	NA	NA	NA	NA
Ab_contig_1209	Q00945	2.65e-34	NA	NA	NA	NA
Ab_contig_1221	P26225	1.02e-78	NA	NA	NA	NA
Ab_contig_1226	Q9BZP6	8.81e-44	NA	NA	NA	NA
Ab_contig_1229	Q10751	4.04e-22	NA	NA	NA	NA
Ab_contig_1239	Q9VJ33	7.45e-31	NA	NA	NA	NA
Ab_contig_1243	Q36421	8.37e-72	NA	NA	NA	NA
Ab_contig_1248	P29120	9.78e-24	NA	NA	NA	NA
Ab_contig_1249	Q78P75	8.65e-47	NA	NA	NA	NA
Ab_contig_1250	Q9TU53	8e-23	NA	NA	NA	NA
Ab_contig_1271	P09848	1.06e-33	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Homo sapiens (Human)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005886; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1271	P09848	2.19e-31	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Homo sapiens (Human)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005886; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1271	P09848	6.1e-30	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]	Homo sapiens (Human)	cellobiose catabolic process [GO:2000892]; glycosylceramide catabolic process [GO:0046477]; lactose catabolic process [GO:0005990]; quercetin catabolic process [GO:1901733]	GO:0000016; GO:0004336; GO:0004348; GO:0005886; GO:0005990; GO:0008422; GO:0042803; GO:0046477; GO:0080079; GO:0098591; GO:0140749; GO:1901733; GO:2000892
Ab_contig_1274	P42028	2.39e-22	NA	NA	NA	NA
Ab_contig_1292	P62262	1.83e-25	NA	NA	NA	NA
Ab_contig_1308	Q8VCN5	1.33e-28	NA	NA	NA	NA
Ab_contig_1318	Q3T0F5	2.58e-23	NA	NA	NA	NA
Ab_contig_1345	O43181	4.54e-47	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	Homo sapiens (Human)	aerobic respiration [GO:0009060]; brain development [GO:0007420]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; reactive oxygen species metabolic process [GO:0072593]; regulation of protein phosphorylation [GO:0001932]; response to cAMP [GO:0051591]	GO:0001932; GO:0005739; GO:0005743; GO:0006120; GO:0007420; GO:0008137; GO:0009060; GO:0032981; GO:0042776; GO:0045271; GO:0051591; GO:0072593
Ab_contig_1354	O73817	2.57e-47	NA	NA	NA	NA
Ab_contig_1355	Q9HAT2	2.34e-31	NA	NA	NA	NA
Ab_contig_1365	Q7ZTY4	8.98e-50	NA	NA	NA	NA
Ab_contig_1367	P60517	1.91e-54	NA	NA	NA	NA
Ab_contig_1379	P91778	1.01e-27	NA	NA	NA	NA
Ab_contig_1384	P77735	1.73e-34	NA	NA	NA	NA
Ab_contig_1396	P13060	1.65e-30	NA	NA	NA	NA
Ab_contig_1407	Q3T084	1.65e-22	NA	NA	NA	NA
Ab_contig_1414	O73817	6.02e-51	NA	NA	NA	NA
Ab_contig_1417	Q94519	8.35e-34	NA	NA	NA	NA
Ab_contig_1418	P61917	8.73e-21	NA	NA	NA	NA
Ab_contig_1429	Q9WV92	3.05e-22	NA	NA	NA	NA
Ab_contig_1434	Q5RFH3	1.76e-50	NA	NA	NA	NA
Ab_contig_1440	Q9W3J5	1.14e-34	NA	NA	NA	NA
Ab_contig_1448	P24495	4.07e-111	NA	NA	NA	NA
Ab_contig_1449	P29341	2.63e-37	NA	NA	NA	NA
Ab_contig_1479	Q99766	1.95e-21	NA	NA	NA	NA
Ab_contig_1484	Q64331	4.79e-35	NA	NA	NA	NA
Ab_contig_1489	Q5NVM7	2.51e-82	NA	NA	NA	NA
Ab_contig_1491	Q9VHI4	3.1e-34	NA	NA	NA	NA
Ab_contig_1492	P22534	4.27e-25	NA	NA	NA	NA
Ab_contig_1496	A2AX52	3.45e-38	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1496	A2AX52	3.66e-38	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1496	A2AX52	1.87e-28	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1496	A2AX52	5.93e-24	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1496	A2AX52	6.34e-24	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005518; GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0032991; GO:0062023
Ab_contig_1499	P00397	2.4e-37	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Mus musculus (Mouse)	cerebellum development [GO:0021549]; oxidative phosphorylation [GO:0006119]; response to copper ion [GO:0046688]; response to electrical stimulus [GO:0051602]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]	GO:0001666; GO:0004129; GO:0005739; GO:0005743; GO:0006119; GO:0006979; GO:0020037; GO:0021549; GO:0045277; GO:0046688; GO:0046872; GO:0051602
Ab_contig_1505	Q8N6L1	2.99e-40	NA	NA	NA	NA
Ab_contig_1516	Q5NVM7	8.75e-43	NA	NA	NA	NA
Ab_contig_1517	Q9CQ40	7.36e-40	NA	NA	NA	NA
Ab_contig_1527	P02826	2.95e-43	NA	NA	NA	NA
Ab_contig_1536	O75439	2.96e-98	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)	Homo sapiens (Human)	mitochondrial calcium ion transmembrane transport [GO:0006851]; protein processing involved in protein targeting to mitochondrion [GO:0006627]	GO:0004222; GO:0005739; GO:0005759; GO:0006627; GO:0006851; GO:0017087; GO:0046872
Ab_contig_1546	Q6QLW4	6.27e-59	NA	NA	NA	NA
Ab_contig_1556	P91778	2.46e-24	NA	NA	NA	NA
Ab_contig_1563	Q7Z0T3	1.75e-30	NA	NA	NA	NA
Ab_contig_1586	Q5ZMC0	1.76e-41	NA	NA	NA	NA
Ab_contig_1623	Q2M2H8	1.3e-25	NA	NA	NA	NA
Ab_contig_1630	P62870	3.85e-27	NA	NA	NA	NA
Ab_contig_1635	Q5R8W6	1.91e-26	NA	NA	NA	NA
Ab_contig_1640	P39872	6.41e-48	NA	NA	NA	NA
Ab_contig_1654	P42577	4.26e-27	NA	NA	NA	NA
Ab_contig_1669	P91778	6.26e-55	NA	NA	NA	NA
Ab_contig_1683	P48376	7.19e-42	NA	NA	NA	NA
Ab_contig_1687	Q5R592	5.68e-49	NA	NA	NA	NA
Ab_contig_1692	P54369	1.14e-33	NA	NA	NA	NA
Ab_contig_1700	O70152	4.23e-101	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase)	Mus musculus (Mouse)	dolichol metabolic process [GO:0019348]; dolichol phosphate mannose biosynthetic process [GO:0180047]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; GDP-mannose metabolic process [GO:0019673]; GPI anchor biosynthetic process [GO:0006506]; protein mannosylation [GO:0035268]; protein O-linked mannosylation [GO:0035269]; response to oxygen levels [GO:0070482]	GO:0004169; GO:0004582; GO:0005537; GO:0005783; GO:0005789; GO:0006488; GO:0006506; GO:0016020; GO:0019348; GO:0019673; GO:0033185; GO:0035268; GO:0035269; GO:0043178; GO:0046872; GO:0070482; GO:0180047
Ab_contig_1703	A6QQ21	1.37e-83	NA	NA	NA	NA
Ab_contig_1719	O01814	2.07e-25	NA	NA	NA	NA
Ab_contig_1723	P25784	1.85e-36	NA	NA	NA	NA
Ab_contig_1725	Q5R439	7.4e-27	NA	NA	NA	NA
Ab_contig_1743	P24369	5.64e-33	NA	NA	NA	NA
Ab_contig_1761	Q3ZCI9	1.46e-33	NA	NA	NA	NA
Ab_contig_1786	P55097	3.33e-33	NA	NA	NA	NA
Ab_contig_1793	P18700	8.25e-69	NA	NA	NA	NA
Ab_contig_1825	Q5E9K0	1.45e-51	NA	NA	NA	NA
Ab_contig_1826	P50174	1.62e-36	NA	NA	NA	NA
Ab_contig_1831	Q8VE97	2.9e-43	NA	NA	NA	NA
Ab_contig_1842	P12762	5.81e-28	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	Equus caballus (Horse)	aldehyde catabolic process [GO:0046185]; ethanol catabolic process [GO:0006068]; nitroglycerin metabolic process [GO:0018937]; regulation of dopamine biosynthetic process [GO:1903179]; regulation of serotonin biosynthetic process [GO:1905627]	GO:0004029; GO:0005739; GO:0005759; GO:0006068; GO:0008957; GO:0018937; GO:0046185; GO:0051287; GO:0106435; GO:1903179; GO:1905627
Ab_contig_1844	Q6NP60	2.99e-22	NA	NA	NA	NA
Ab_contig_1849	P26221	1.26e-30	NA	NA	NA	NA
Ab_contig_1857	Q5ZMD6	1.68e-42	NA	NA	NA	NA
Ab_contig_1880	Q02372	3.27e-43	NA	NA	NA	NA
Ab_contig_1909	Q9UBQ5	4.57e-25	NA	NA	NA	NA
Ab_contig_1919	P84173	9.39e-40	NA	NA	NA	NA
Ab_contig_1940	F1QB54	8.73e-44	NA	NA	NA	NA
Ab_contig_1971	Q6DRH5	2.54e-22	NA	NA	NA	NA
Ab_contig_1990	P35129	1.07e-92	NA	NA	NA	NA
Ab_contig_2005	A5D6U8	6.63e-81	NA	NA	NA	NA
Ab_contig_2013	Q92841	4.03e-52	NA	NA	NA	NA
Ab_contig_2028	Q96GM5	1.58e-38	NA	NA	NA	NA
Ab_contig_2034	Q8BM89	1.44e-21	NA	NA	NA	NA
Ab_contig_2035	Q96A72	9.76e-56	NA	NA	NA	NA
Ab_contig_2042	P54071	5.57e-53	NA	NA	NA	NA
Ab_contig_2048	Q9D115	5.21e-26	NA	NA	NA	NA
Ab_contig_2077	Q6GPW2	3.12e-31	NA	NA	NA	NA
Ab_contig_2097	Q641X8	2.45e-55	NA	NA	NA	NA
Ab_contig_2099	P26225	7.27e-24	NA	NA	NA	NA
Ab_contig_2101	P29341	5.15e-118	NA	NA	NA	NA
Ab_contig_2101	P29341	1.25e-43	NA	NA	NA	NA
Ab_contig_2101	P29341	8.69e-25	NA	NA	NA	NA
Ab_contig_2104	Q5R5H1	3.51e-91	NA	NA	NA	NA
Ab_contig_2106	Q08CS6	8.12e-21	NA	NA	NA	NA
Ab_contig_2111	Q6DRC4	1.97e-61	NA	NA	NA	NA
Ab_contig_2133	Q8BP47	3.46e-36	NA	NA	NA	NA
Ab_contig_2135	Q8IUS5	2.7e-38	NA	NA	NA	NA
Ab_contig_2144	Q9VHK6	1.22e-39	NA	NA	NA	NA
Ab_contig_2152	O43491	6.28e-28	Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G)	Homo sapiens (Human)	actomyosin structure organization [GO:0031032]; cell division [GO:0051301]; cortical actin cytoskeleton organization [GO:0030866]; positive regulation of protein localization to cell cortex [GO:1904778]	GO:0003779; GO:0005198; GO:0005654; GO:0005829; GO:0005856; GO:0005886; GO:0005925; GO:0005938; GO:0008091; GO:0030054; GO:0030507; GO:0030866; GO:0031032; GO:0042731; GO:0051301; GO:0070062; GO:1904778
Ab_contig_2153	A0A1L8EXB5	3.59e-51	NA	NA	NA	NA
Ab_contig_2155	O09159	3.39e-22	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B)	Mus musculus (Mouse)	learning or memory [GO:0007611]; mannose metabolic process [GO:0006013]; oligosaccharide catabolic process [GO:0009313]; protein modification process [GO:0036211]	GO:0004559; GO:0005537; GO:0005615; GO:0005654; GO:0006013; GO:0007611; GO:0009313; GO:0036211; GO:0043202; GO:0046872
Ab_contig_2156	Q78S06	1.69e-33	NA	NA	NA	NA
Ab_contig_2191	O08325	1.11e-54	NA	NA	NA	NA
Ab_contig_2229	P40320	1.14e-22	NA	NA	NA	NA
Ab_contig_2244	Q9NQC3	1.54e-53	NA	NA	NA	NA
Ab_contig_2248	Q9U639	4.54e-37	NA	NA	NA	NA
Ab_contig_2251	P29691	8.17e-33	NA	NA	NA	NA
Ab_contig_2256	Q6YHK3	7.84e-50	NA	NA	NA	NA
Ab_contig_2283	Q4HXF6	5.7e-48	NA	NA	NA	NA
Ab_contig_2296	Q8WPJ2	2.51e-34	NA	NA	NA	NA
Ab_contig_2307	O86034	2.39e-22	NA	NA	NA	NA
Ab_contig_2316	Q5R637	2.14e-46	NA	NA	NA	NA
Ab_contig_2318	Q9UBF2	5.83e-37	NA	NA	NA	NA
Ab_contig_2341	Q5ZJK8	2.08e-40	NA	NA	NA	NA
Ab_contig_2348	Q64270	8.68e-55	NA	NA	NA	NA
Ab_contig_2349	P55216	5.27e-30	NA	NA	NA	NA
Ab_contig_2353	A0MCU0	1.27e-26	NA	NA	NA	NA
Ab_contig_2361	P53449	1.53e-40	NA	NA	NA	NA
Ab_contig_2372	Q5R5F5	1.83e-77	NA	NA	NA	NA
Ab_contig_2376	P28840	1.38e-60	NA	NA	NA	NA
Ab_contig_2380	Q3ZCI9	2.05e-22	NA	NA	NA	NA
Ab_contig_2388	P45887	8.52e-21	NA	NA	NA	NA
Ab_contig_2389	P48601	7.54e-74	NA	NA	NA	NA
Ab_contig_2394	Q5RAP1	8.6e-30	NA	NA	NA	NA
Ab_contig_2397	P62334	3.52e-90	NA	NA	NA	NA
Ab_contig_2410	P07751	1.63e-24	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain)	Gallus gallus (Chicken)	actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]	GO:0005509; GO:0005516; GO:0005886; GO:0030036; GO:0030054; GO:0030864; GO:0042995; GO:0043034; GO:0051015; GO:0051693
Ab_contig_2413	Q5WR10	1.42e-50	NA	NA	NA	NA
Ab_contig_2415	P70097	9.53e-34	NA	NA	NA	NA
Ab_contig_2417	Q6YHK3	4.89e-42	NA	NA	NA	NA
Ab_contig_2420	Q3TTY0	6.4e-65	NA	NA	NA	NA
Ab_contig_2420	Q3TTY0	6.73e-52	NA	NA	NA	NA
Ab_contig_2420	Q3TTY0	1.44e-44	NA	NA	NA	NA
Ab_contig_2420	Q3TTY0	1.91e-23	NA	NA	NA	NA
Ab_contig_2425	Q9WV25	1.4e-30	NA	NA	NA	NA
Ab_contig_2426	O94817	1.32e-39	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)	Homo sapiens (Human)	autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; autophagy of mitochondrion [GO:0000422]; glycophagy [GO:0061723]; macroautophagy [GO:0016236]; negative regulation of defense response to virus [GO:0050687]; negative regulation of innate immune response [GO:0045824]; negative regulation of type I interferon production [GO:0032480]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of viral translation [GO:1904973]; regulation of autophagosome maturation [GO:1901096]	GO:0000045; GO:0000421; GO:0000422; GO:0005654; GO:0005776; GO:0005829; GO:0016236; GO:0030670; GO:0031386; GO:0032480; GO:0032991; GO:0034045; GO:0034274; GO:0034727; GO:0043231; GO:0045824; GO:0050687; GO:0061723; GO:0097352; GO:1901096; GO:1904973; GO:1990234
Ab_contig_2451	B7Z0E2	4.7e-31	RNA-binding protein Unr (Protein upstream of N-ras homolog)	Drosophila melanogaster (Fruit fly)	cell differentiation [GO:0030154]; dosage compensation complex assembly [GO:0042714]; negative regulation of translational initiation [GO:0045947]; sex differentiation [GO:0007548]	GO:0000900; GO:0003723; GO:0003730; GO:0005829; GO:0007548; GO:0030154; GO:0042714; GO:0045947; GO:0106222; GO:0140517; GO:1905172
Ab_contig_2456	P51544	1.87e-58	NA	NA	NA	NA
Ab_contig_2466	Q90473	1.3e-52	NA	NA	NA	NA
Ab_contig_2470	P63018	1.97e-124	NA	NA	NA	NA
Ab_contig_2482	P04069	2.41e-22	NA	NA	NA	NA
Ab_contig_2486	Q6CGG3	3.15e-22	NA	NA	NA	NA
Ab_contig_2505	E0W1I1	8.35e-35	Serine/threonine-protein kinase Pink1, mitochondrial (EC 2.7.11.1) (PTEN-induced putative kinase 1)	Pediculus humanus subsp. corporis (Body louse)	autophagy of mitochondrion [GO:0000422]; positive regulation of mitochondrial fission [GO:0090141]; regulation of apoptotic process [GO:0042981]	GO:0000422; GO:0004672; GO:0004676; GO:0004677; GO:0004679; GO:0004694; GO:0004711; GO:0005524; GO:0005741; GO:0005743; GO:0005829; GO:0035175; GO:0035402; GO:0035403; GO:0035979; GO:0042981; GO:0044022; GO:0044023; GO:0044024; GO:0044025; GO:0046872; GO:0072354; GO:0072371; GO:0072518; GO:0090141; GO:0140823; GO:0140855; GO:0140857; GO:1990244
Ab_contig_2514	Q6RWA9	8.19e-107	NA	NA	NA	NA
Ab_contig_2520	Q5R9J9	1.29e-44	NA	NA	NA	NA
Ab_contig_2522	P38542	1e-73	NA	NA	NA	NA
Ab_contig_2543	Q5R5B6	2.03e-34	NA	NA	NA	NA
Ab_contig_2549	Q9U9L2	1.59e-54	NA	NA	NA	NA
Ab_contig_2550	Q10584	1.68e-21	NA	NA	NA	NA
Ab_contig_2560	P09645	2.77e-42	NA	NA	NA	NA
Ab_contig_2576	P28075	4.34e-38	NA	NA	NA	NA
Ab_contig_2578	Q16956	2.68e-23	NA	NA	NA	NA
Ab_contig_2593	Q91Z53	1.83e-36	NA	NA	NA	NA
